,mod_ingredients
cooking spray,0.0010391032802070455
spaghetti,0.0010386063393748087
sweet potato,0.0010296614043945472
gingerroot,0.0010291644635623104
warm water,0.0010207164694142857
sage,0.0010207164694142857
almond extract,0.0010167409427563918
black olive,0.000984439788661003
bread,0.0009645621553715329
cooked chicken,0.0009595927470491654
chili,0.0009536294570623243
sliced mushroom,0.0009436906404175894
cabbage,0.0009292793562827236
cayenne,0.0009228191254636458
cinnamon stick,0.0009213283029669355
lime,0.0009188435988057518
mustard,0.0009148680721478578
boneless skinless chicken breast half,0.0009118864271544372
hot water,0.0008920087938649673
cocoa,0.0008915118530327305
molass,0.000864677048091946
dark brown sugar,0.0008621923439307622
lettuce,0.0008611984622662887
leek,0.0008592106989373417
orange,0.0008497688231248434
ham,0.0008328728348287939
pine nut,0.0008264126040097162
sweet onion,0.0008219401365195854
white onion,0.000820946254855112
cherry tomato,0.0008204493140228752
caper,0.0008065349707202462
orange zest,0.0008005716807334051
coconut,0.0007965961540755111
active dry yeast,0.0007861603965985394
ice,0.0007792032249472249
pork,0.0007787062841149881
red wine,0.0007737368757926206
peach,0.0007732399349603839
cocoa powder,0.0007707552307992001
ice cube,0.0007692644083024899
barbecue,0.0007687674674702531
pumpkin,0.0007682705266380163
pasta,0.0007588286508255181
rolled oat,0.0007583317099932814
cornmeal,0.0007563439466643344
tofu,0.0007444173666906524
hot pepper,0.0007434234850261788
plum tomato,0.0007394479583682849
broccoli floret,0.0007334846683814438
eggplant,0.000717085620917631
asparagu,0.00071112233093079
pure vanilla extract,0.0006982018692926346
fish,0.000697207987628161
turkey,0.0006962141059636875
vegetable broth,0.0006962141059636875
red potato,0.0006957171651314508
tarragon,0.0006947232834669773
raspberry,0.0006937294018025038
yeast,0.0006907477568090833
peanut,0.0006842875259900056
beer,0.0006822997626610585
whipped cream,0.0006783242360031645
cool whip,0.0006683854193584295
vodka,0.0006440353185788287
chickpea,0.000643538377746592
mango,0.0006425444960821185
cardamom,0.000639562851088698
mint leaf,0.0006380720285919878
of  mint,0.0006296240344439629
vegetable stock,0.0006271393302827792
slivered almond,0.000625648507786069
marjoram,0.0006231638036248852
icing sugar,0.0006196852177992279
flat leaf parsley,0.0006176974544702809
celery seed,0.0006132249869801502
salmon fillet,0.000605770874496599
cumin seed,0.0006042800519998887
caster sugar,0.0006012984070064681
dill weed,0.0006003045253419947
sliced almond,0.0005923534720262066
apricot,0.0005868871228716025
kidney bean,0.0005853963003748921
prepared mustard,0.0005853963003748921
dry sherry,0.0005848993595426555
low sodium chicken broth,0.0005794330103880512
vanilla ice cream,0.0005784391287235776
unsweetened cocoa powder,0.0005565737321051607
cilantro leaf,0.0005545859687762137
cauliflower,0.0005486226787893726
parsley flake,0.0005446471521314786
coarse salt,0.0005441502112992419
white bread,0.0005436532704670051
roma tomato,0.0005406716254735847
granny smith apple,0.0005366960988156906
cream of tartar,0.0005347083354867436
lemon rind,0.0005272542230031923
pork chop,0.0005257634005064821
heavy whipping cream,0.0005252664596742453
pork tenderloin,0.0005188062288551676
french bread,0.0005153276430295104
roasted red pepper,0.0005034010630558284
kalamata olive,0.0005034010630558284
russet potato,0.0005004194180624078
elbow macaroni,0.0005004194180624078
sun- tomato,0.000499922477230171
boneless chicken breast,0.0004954500097400403
splenda sugar substitute,0.0004939591872433301
romaine lettuce,0.0004934622464110933
beef stock,0.0004924683647466198
corn kernel,0.0004924683647466198
dry breadcrumb,0.0004919714239143831
kernel corn,0.000489983660585436
dry red wine,0.0004894867197531993
black peppercorn,0.0004825295481018848
"lemon, zest of",0.00047557237645057027
brandy,0.0004745784947860968
artichoke heart,0.0004725907314571498
baby spinach,0.0004715968497926763
baby carrot,0.0004656335598058353
spring onion,0.00045917332898675754
oatmeal,0.0004576825064900473
thyme leaf,0.000456191683993337
whipped topping,0.00045420392066439
graham cracker crumb,0.00045370697983215325
yellow cake mix,0.000446252867348602
baking potato,0.00044277428152294477
stewed tomato,0.0004407865181939977
button mushroom,0.0004392956956972875
pear,0.00043780487320057725
semisweet chocolate,0.00043581710987163026
maraschino cherry,0.00043581710987163026
date,0.00042935687905255247
sherry wine,0.000428362997388079
taco seasoning,0.00042786605655584226
onion flake,0.00042786605655584226
orange rind,0.0004273691157236055
hoisin,0.0004268721748913687
golden raisin,0.0004258782932268952
low sodium soy,0.00042339358906571146
flaked coconut,0.00042140582573676447
